,id,type,DEG_tp2_tp4,GO_BP
46,FUN_004465,gene,no,positive regulation of autophagy [GO:0010508]
47,FUN_004465,gene,no,positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]
48,FUN_004465,gene,no,positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]
49,FUN_004465,gene,no,positive regulation of protein binding [GO:0032092]
50,FUN_004465,gene,no,positive regulation of protein catabolic process [GO:0045732]
51,FUN_004465,gene,no,positive regulation of receptor internalization [GO:0002092]
52,FUN_004465,gene,no,protein phosphorylation [GO:0006468]
53,FUN_004465,gene,no,Rap protein signal transduction [GO:0032486]
54,FUN_004465,gene,no,Ras protein signal transduction [GO:0007265]
55,FUN_004465,gene,no,regulation of centriole replication [GO:0046599]
56,FUN_004465,gene,no,regulation of cytokinesis [GO:0032465]
57,FUN_004465,gene,no,regulation of synaptic plasticity [GO:0048167]
58,FUN_004568,gene,no,ATP metabolic process [GO:0046034]
59,FUN_004568,gene,no,proteolysis [GO:0006508]
60,FUN_004568,gene,no,proteolysis involved in protein catabolic process [GO:0051603]
61,FUN_004635,gene,no,carbohydrate metabolic process [GO:0005975]
62,FUN_004635,gene,no,intestinal absorption [GO:0050892]
63,FUN_004635,gene,no,kidney morphogenesis [GO:0060993]
64,FUN_004635,gene,no,O-glycan processing [GO:0016266]
65,FUN_004635,gene,no,protein O-linked glycosylation [GO:0006493]
66,FUN_004635,gene,no,tissue morphogenesis [GO:0048729]
67,FUN_002861,gene,no,cell cycle [GO:0007049]
68,FUN_002861,gene,no,cell division [GO:0051301]
69,FUN_002861,gene,no,regulation of mitotic cell cycle [GO:0007346]
70,FUN_006436,gene,no,protein deubiquitination [GO:0016579]
71,FUN_006436,gene,no,ubiquitin-dependent protein catabolic process [GO:0006511]
72,FUN_006450,gene,no,I-kappaB kinase/NF-kappaB signaling [GO:0007249]
73,FUN_006450,gene,no,intracellular signal transduction [GO:0035556]
74,FUN_006450,gene,no,negative regulation of cytokine production involved in inflammatory response [GO:1900016]
75,FUN_006450,gene,no,negative regulation of epithelial cell proliferation [GO:0050680]
76,FUN_006450,gene,no,negative regulation of fibroblast proliferation [GO:0048147]
77,FUN_006450,gene,no,negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]
78,FUN_006450,gene,no,negative regulation of inflammatory response [GO:0050728]
79,FUN_006450,gene,no,negative regulation of innate immune response [GO:0045824]
80,FUN_006450,gene,no,negative regulation of interferon-alpha production [GO:0032687]
81,FUN_006450,gene,no,negative regulation of interferon-beta production [GO:0032688]
82,FUN_006450,gene,no,negative regulation of interleukin-6 production [GO:0032715]
83,FUN_006450,gene,no,negative regulation of NF-kappaB transcription factor activity [GO:0032088]
84,FUN_006450,gene,no,negative regulation of NIK/NF-kappaB signaling [GO:1901223]
85,FUN_006450,gene,no,negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]
86,FUN_006450,gene,no,negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]
87,FUN_006450,gene,no,negative regulation of tumor necrosis factor production [GO:0032720]
88,FUN_006450,gene,no,T cell activation [GO:0042110]
89,FUN_006566,gene,no,I-kappaB kinase/NF-kappaB signaling [GO:0007249]
90,FUN_006566,gene,no,intracellular signal transduction [GO:0035556]
91,FUN_006566,gene,no,negative regulation of cytokine production involved in inflammatory response [GO:1900016]
92,FUN_006566,gene,no,negative regulation of epithelial cell proliferation [GO:0050680]
93,FUN_006566,gene,no,negative regulation of fibroblast proliferation [GO:0048147]
94,FUN_006566,gene,no,negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]
95,FUN_006566,gene,no,negative regulation of inflammatory response [GO:0050728]
96,FUN_006566,gene,no,negative regulation of innate immune response [GO:0045824]
97,FUN_006566,gene,no,negative regulation of interferon-alpha production [GO:0032687]
98,FUN_006566,gene,no,negative regulation of interferon-beta production [GO:0032688]
99,FUN_006566,gene,no,negative regulation of interleukin-6 production [GO:0032715]
100,FUN_006566,gene,no,negative regulation of NF-kappaB transcription factor activity [GO:0032088]
101,FUN_006566,gene,no,negative regulation of NIK/NF-kappaB signaling [GO:1901223]
102,FUN_006566,gene,no,negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]
103,FUN_006566,gene,no,negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]
104,FUN_006566,gene,no,negative regulation of tumor necrosis factor production [GO:0032720]
105,FUN_006566,gene,no,T cell activation [GO:0042110]
106,FUN_006690,gene,no,
107,FUN_007025,gene,no,
108,FUN_007148,gene,no,cilium assembly [GO:0060271]
109,FUN_007148,gene,no,smoothened signaling pathway [GO:0007224]
110,FUN_005811,gene,no,cilium movement [GO:0003341]
111,FUN_005811,gene,no,microtubule-based movement [GO:0007018]
112,FUN_005989,gene,no,arachidonic acid metabolic process [GO:0019369]
113,FUN_005989,gene,no,fatty acid biosynthetic process [GO:0006633]
114,FUN_005989,gene,no,lipid oxidation [GO:0034440]
115,FUN_005989,gene,no,oxylipin biosynthetic process [GO:0031408]
116,FUN_006243,gene,no,carbohydrate biosynthetic process [GO:0016051]
117,FUN_006243,gene,no,dermatan sulfate proteoglycan metabolic process [GO:0050655]
118,FUN_008347,gene,no,
119,FUN_008362,gene,no,
120,FUN_008363,gene,no,
121,FUN_008438,gene,no,
122,FUN_008469,gene,no,aorta development [GO:0035904]
123,FUN_008469,gene,no,branching involved in ureteric bud morphogenesis [GO:0001658]
124,FUN_008469,gene,no,calcium ion transmembrane transport [GO:0070588]
125,FUN_008469,gene,no,calcium ion transport [GO:0006816]
126,FUN_008469,gene,no,cell-cell signaling by wnt [GO:0198738]
127,FUN_008469,gene,no,cellular calcium ion homeostasis [GO:0006874]
128,FUN_008469,gene,no,cellular response to calcium ion [GO:0071277]
129,FUN_008469,gene,no,cellular response to cAMP [GO:0071320]
130,FUN_008469,gene,no,cellular response to fluid shear stress [GO:0071498]
131,FUN_008469,gene,no,cellular response to hydrostatic pressure [GO:0071464]
132,FUN_008469,gene,no,cellular response to osmotic stress [GO:0071470]
133,FUN_008469,gene,no,cilium organization [GO:0044782]
134,FUN_008469,gene,no,cytoplasmic sequestering of transcription factor [GO:0042994]
135,FUN_008469,gene,no,detection of mechanical stimulus [GO:0050982]
136,FUN_008469,gene,no,detection of nodal flow [GO:0003127]
137,FUN_008469,gene,no,determination of left/right symmetry [GO:0007368]
138,FUN_008469,gene,no,determination of liver left/right asymmetry [GO:0071910]
139,FUN_008469,gene,no,embryonic placenta development [GO:0001892]
140,FUN_008469,gene,no,establishment of localization in cell [GO:0051649]
141,FUN_008469,gene,no,heart development [GO:0007507]
142,FUN_008469,gene,no,heart looping [GO:0001947]
143,FUN_008469,gene,no,inorganic cation transmembrane transport [GO:0098662]
144,FUN_008469,gene,no,kidney development [GO:0001822]
145,FUN_008469,gene,no,liver development [GO:0001889]
146,FUN_008469,gene,no,mesonephric duct development [GO:0072177]
147,FUN_008469,gene,no,metanephric ascending thin limb development [GO:0072218]
148,FUN_008469,gene,no,metanephric cortex development [GO:0072214]
149,FUN_008469,gene,no,metanephric cortical collecting duct development [GO:0072219]
150,FUN_008469,gene,no,metanephric distal tubule development [GO:0072235]
151,FUN_008469,gene,no,metanephric mesenchyme development [GO:0072075]
152,FUN_008469,gene,no,metanephric part of ureteric bud development [GO:0035502]
153,FUN_008469,gene,no,metanephric S-shaped body morphogenesis [GO:0072284]
154,FUN_008469,gene,no,metanephric smooth muscle tissue development [GO:0072208]
155,FUN_008469,gene,no,negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]
156,FUN_008469,gene,no,negative regulation of ryanodine-sensitive calcium-release channel activity [GO:0060315]
157,FUN_008469,gene,no,neural tube development [GO:0021915]
158,FUN_008469,gene,no,placenta blood vessel development [GO:0060674]
159,FUN_008469,gene,no,positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]
160,FUN_008469,gene,no,positive regulation of cytosolic calcium ion concentration [GO:0007204]
161,FUN_008469,gene,no,positive regulation of gene expression [GO:0010628]
162,FUN_008469,gene,no,positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0031587]
163,FUN_008469,gene,no,positive regulation of nitric oxide biosynthetic process [GO:0045429]
164,FUN_008469,gene,no,positive regulation of transcription by RNA polymerase II [GO:0045944]
165,FUN_008469,gene,no,potassium ion transmembrane transport [GO:0071805]
166,FUN_008469,gene,no,protein heterotetramerization [GO:0051290]
167,FUN_008469,gene,no,protein homotetramerization [GO:0051289]
168,FUN_008469,gene,no,protein tetramerization [GO:0051262]
169,FUN_008469,gene,no,receptor signaling pathway via JAK-STAT [GO:0007259]
170,FUN_008469,gene,no,regulation of calcium ion import [GO:0090279]
171,FUN_008469,gene,no,regulation of cell cycle [GO:0051726]
172,FUN_008469,gene,no,regulation of cell population proliferation [GO:0042127]
173,FUN_008469,gene,no,release of sequestered calcium ion into cytosol [GO:0051209]
174,FUN_008469,gene,no,renal artery morphogenesis [GO:0061441]
175,FUN_008469,gene,no,renal tubule morphogenesis [GO:0061333]
176,FUN_008469,gene,no,sodium ion transmembrane transport [GO:0035725]
177,FUN_008469,gene,no,spinal cord development [GO:0021510]
178,FUN_008469,gene,no,Wnt signaling pathway [GO:0016055]
179,FUN_008513,gene,no,chemical synaptic transmission [GO:0007268]
180,FUN_008513,gene,no,ion transmembrane transport [GO:0034220]
181,FUN_008513,gene,no,nervous system process [GO:0050877]
182,FUN_008513,gene,no,regulation of membrane potential [GO:0042391]
183,FUN_008513,gene,no,signal transduction [GO:0007165]
184,FUN_007680,gene,no,lipid metabolic process [GO:0006629]
185,FUN_007680,gene,no,protein glycosylation [GO:0006486]
186,FUN_007714,gene,yes,DNA integration [GO:0015074]
187,FUN_007714,gene,yes,DNA recombination [GO:0006310]
188,FUN_007714,gene,yes,proteolysis [GO:0006508]
189,FUN_007714,gene,yes,transposition, RNA-mediated [GO:0032197]
190,FUN_007744,gene,yes,transposition, DNA-mediated [GO:0006313]
191,FUN_008116,gene,no,germ cell development [GO:0007281]
192,FUN_008116,gene,no,male germ cell proliferation [GO:0002176]
193,FUN_008116,gene,no,male gonad development [GO:0008584]
194,FUN_008116,gene,no,male sex determination [GO:0030238]
195,FUN_008116,gene,no,regulation of transcription by RNA polymerase II [GO:0006357]
196,FUN_008116,gene,no,sex differentiation [GO:0007548]
197,FUN_009696,gene,no,DNA duplex unwinding [GO:0032508]
198,FUN_009696,gene,no,DNA recombination [GO:0006310]
199,FUN_009696,gene,no,DNA repair [GO:0006281]
200,FUN_009696,gene,no,DNA replication [GO:0006260]
201,FUN_009696,gene,no,mitochondrial genome maintenance [GO:0000002]
202,FUN_009696,gene,no,telomere maintenance [GO:0000723]
203,FUN_009800,gene,no,cell cycle [GO:0007049]
204,FUN_009800,gene,no,cell division [GO:0051301]
205,FUN_009800,gene,no,regulation of mitotic cell cycle [GO:0007346]
206,FUN_009071,gene,no,cell cycle [GO:0007049]
207,FUN_009071,gene,no,cell division [GO:0051301]
208,FUN_009071,gene,no,regulation of mitotic cell cycle [GO:0007346]
209,FUN_009073,gene,no,cell cycle [GO:0007049]
210,FUN_009073,gene,no,cell division [GO:0051301]
211,FUN_009073,gene,no,regulation of mitotic cell cycle [GO:0007346]
212,FUN_009109,gene,no,cell cycle [GO:0007049]
213,FUN_009109,gene,no,cell division [GO:0051301]
214,FUN_009109,gene,no,regulation of mitotic cell cycle [GO:0007346]
215,FUN_009112,gene,no,cell cycle [GO:0007049]
216,FUN_009112,gene,no,cell division [GO:0051301]
217,FUN_009112,gene,no,regulation of mitotic cell cycle [GO:0007346]
218,FUN_009124,gene,no,cell cycle [GO:0007049]
219,FUN_009124,gene,no,cell division [GO:0051301]
220,FUN_009124,gene,no,regulation of mitotic cell cycle [GO:0007346]
221,FUN_009130,gene,no,cell cycle [GO:0007049]
222,FUN_009130,gene,no,cell division [GO:0051301]
223,FUN_009130,gene,no,regulation of mitotic cell cycle [GO:0007346]
224,FUN_009133,gene,no,cell cycle [GO:0007049]
225,FUN_009133,gene,no,cell division [GO:0051301]
226,FUN_009133,gene,no,regulation of mitotic cell cycle [GO:0007346]
227,FUN_009137,gene,no,cell cycle [GO:0007049]
228,FUN_009137,gene,no,cell division [GO:0051301]
229,FUN_009137,gene,no,regulation of mitotic cell cycle [GO:0007346]
230,FUN_009140,gene,no,cell cycle [GO:0007049]
231,FUN_009140,gene,no,cell division [GO:0051301]
232,FUN_009140,gene,no,regulation of mitotic cell cycle [GO:0007346]
233,FUN_009149,gene,no,cell cycle [GO:0007049]
234,FUN_009149,gene,no,cell division [GO:0051301]
235,FUN_009149,gene,no,regulation of mitotic cell cycle [GO:0007346]
236,FUN_009155,gene,no,cell cycle [GO:0007049]
237,FUN_009155,gene,no,cell division [GO:0051301]
238,FUN_009155,gene,no,regulation of mitotic cell cycle [GO:0007346]
239,FUN_009240,gene,no,cell cycle [GO:0007049]
240,FUN_009240,gene,no,cell division [GO:0051301]
241,FUN_009240,gene,no,regulation of mitotic cell cycle [GO:0007346]
242,FUN_009397,gene,no,
243,FUN_010691,gene,no,embryonic body morphogenesis [GO:0010172]
244,FUN_010691,gene,no,fibroblast growth factor receptor signaling pathway [GO:0008543]
245,FUN_010691,gene,no,G1/S transition of mitotic cell cycle [GO:0000082]
246,FUN_010691,gene,no,miRNA metabolic process [GO:0010586]
247,FUN_010691,gene,no,miRNA-mediated gene silencing by inhibition of translation [GO:0035278]
248,FUN_010691,gene,no,negative regulation of translation [GO:0017148]
249,FUN_010691,gene,no,neural tube development [GO:0021915]
250,FUN_010691,gene,no,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
251,FUN_010691,gene,no,protein autoubiquitination [GO:0051865]
252,FUN_010691,gene,no,protein polyubiquitination [GO:0000209]
253,FUN_010691,gene,no,regulation of miRNA-mediated gene silencing [GO:0060964]
254,FUN_010691,gene,no,regulation of neural precursor cell proliferation [GO:2000177]
255,FUN_010691,gene,no,stem cell proliferation [GO:0072089]
256,FUN_010694,gene,no,embryonic body morphogenesis [GO:0010172]
257,FUN_010694,gene,no,fibroblast growth factor receptor signaling pathway [GO:0008543]
258,FUN_010694,gene,no,G1/S transition of mitotic cell cycle [GO:0000082]
259,FUN_010694,gene,no,miRNA metabolic process [GO:0010586]
260,FUN_010694,gene,no,miRNA-mediated gene silencing by inhibition of translation [GO:0035278]
261,FUN_010694,gene,no,negative regulation of translation [GO:0017148]
262,FUN_010694,gene,no,neural tube development [GO:0021915]
263,FUN_010694,gene,no,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
264,FUN_010694,gene,no,protein autoubiquitination [GO:0051865]
265,FUN_010694,gene,no,protein polyubiquitination [GO:0000209]
266,FUN_010694,gene,no,regulation of miRNA-mediated gene silencing [GO:0060964]
267,FUN_010694,gene,no,regulation of neural precursor cell proliferation [GO:2000177]
268,FUN_010694,gene,no,stem cell proliferation [GO:0072089]
269,FUN_010706,gene,no,DNA integration [GO:0015074]
270,FUN_010844,gene,no,cell cycle [GO:0007049]
271,FUN_010844,gene,no,cell division [GO:0051301]
272,FUN_010844,gene,no,regulation of mitotic cell cycle [GO:0007346]
273,FUN_010596,gene,no,defense response to fungus [GO:0050832]
274,FUN_010596,gene,no,RNA biosynthetic process [GO:0032774]
275,FUN_010596,gene,no,RNA-templated transcription [GO:0001172]
276,FUN_010596,gene,no,siRNA processing [GO:0030422]
277,FUN_010596,gene,no,siRNA-mediated long-distance post-transcriptional gene silencing [GO:0010495]
278,FUN_012666,gene,no,
279,FUN_012737,gene,no,
280,FUN_013483,gene,no,autophagosome maturation [GO:0097352]
281,FUN_013483,gene,no,autophagy of peroxisome [GO:0030242]
282,FUN_013483,gene,no,cellular response to glucose starvation [GO:0042149]
283,FUN_013483,gene,no,early endosome to late endosome transport [GO:0045022]
284,FUN_013483,gene,no,late endosome to vacuole transport [GO:0045324]
285,FUN_013483,gene,no,macroautophagy [GO:0016236]
286,FUN_013483,gene,no,phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]
287,FUN_013483,gene,no,positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]
288,FUN_013483,gene,no,protein phosphorylation [GO:0006468]
289,FUN_013483,gene,no,protein targeting to lysosome [GO:0006622]
290,FUN_013483,gene,no,protein targeting to vacuole [GO:0006623]
291,FUN_013483,gene,no,receptor catabolic process [GO:0032801]
292,FUN_013483,gene,no,regulation of autophagy [GO:0010506]
293,FUN_013483,gene,no,regulation of cytokinesis [GO:0032465]
294,FUN_013483,gene,no,regulation of macroautophagy [GO:0016241]
295,FUN_013520,gene,no,autophagosome maturation [GO:0097352]
296,FUN_013520,gene,no,autophagy of peroxisome [GO:0030242]
297,FUN_013520,gene,no,cellular response to glucose starvation [GO:0042149]
298,FUN_013520,gene,no,early endosome to late endosome transport [GO:0045022]
299,FUN_013520,gene,no,late endosome to vacuole transport [GO:0045324]
300,FUN_013520,gene,no,macroautophagy [GO:0016236]
301,FUN_013520,gene,no,phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]
302,FUN_013520,gene,no,positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]
303,FUN_013520,gene,no,protein phosphorylation [GO:0006468]
304,FUN_013520,gene,no,protein targeting to lysosome [GO:0006622]
305,FUN_013520,gene,no,protein targeting to vacuole [GO:0006623]
306,FUN_013520,gene,no,receptor catabolic process [GO:0032801]
307,FUN_013520,gene,no,regulation of autophagy [GO:0010506]
308,FUN_013520,gene,no,regulation of cytokinesis [GO:0032465]
309,FUN_013520,gene,no,regulation of macroautophagy [GO:0016241]
310,FUN_011696,gene,no,transposition, DNA-mediated [GO:0006313]
311,FUN_014090,gene,no,axon guidance [GO:0007411]
312,FUN_014090,gene,no,dendrite regeneration [GO:0031104]
313,FUN_014090,gene,no,extracellular matrix organization [GO:0030198]
314,FUN_014090,gene,no,glial cell migration [GO:0008347]
315,FUN_014090,gene,no,neuron migration [GO:0001764]
316,FUN_014090,gene,no,neuron projection development [GO:0031175]
317,FUN_014090,gene,no,response to axon injury [GO:0048678]
318,FUN_011976,gene,no,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]
319,FUN_011976,gene,no,apoptotic process [GO:0006915]
320,FUN_011976,gene,no,bile acid secretion [GO:0032782]
321,FUN_011976,gene,no,branching morphogenesis of an epithelial tube [GO:0048754]
322,FUN_011976,gene,no,calcium ion import [GO:0070509]
323,FUN_011976,gene,no,cellular calcium ion homeostasis [GO:0006874]
324,FUN_011976,gene,no,cellular response to glucose stimulus [GO:0071333]
325,FUN_011976,gene,no,cellular response to hepatocyte growth factor stimulus [GO:0035729]
326,FUN_011976,gene,no,cellular response to hypoxia [GO:0071456]
327,FUN_011976,gene,no,cellular response to low-density lipoprotein particle stimulus [GO:0071404]
328,FUN_011976,gene,no,cellular response to peptide [GO:1901653]
329,FUN_011976,gene,no,cellular response to vitamin D [GO:0071305]
330,FUN_011976,gene,no,chloride transmembrane transport [GO:1902476]
331,FUN_011976,gene,no,detection of calcium ion [GO:0005513]
332,FUN_011976,gene,no,fat pad development [GO:0060613]
333,FUN_011976,gene,no,G protein-coupled receptor signaling pathway [GO:0007186]
334,FUN_011976,gene,no,JNK cascade [GO:0007254]
335,FUN_011976,gene,no,ossification [GO:0001503]
336,FUN_011976,gene,no,phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]
337,FUN_011976,gene,no,positive regulation of ATP-dependent activity [GO:0032781]
338,FUN_011976,gene,no,positive regulation of calcium ion import [GO:0090280]
339,FUN_011976,gene,no,positive regulation of cell population proliferation [GO:0008284]
340,FUN_011976,gene,no,positive regulation of ERK1 and ERK2 cascade [GO:0070374]
341,FUN_011976,gene,no,positive regulation of gene expression [GO:0010628]
342,FUN_011976,gene,no,positive regulation of insulin secretion [GO:0032024]
343,FUN_011976,gene,no,positive regulation of positive chemotaxis [GO:0050927]
344,FUN_011976,gene,no,positive regulation of vasoconstriction [GO:0045907]
345,FUN_011976,gene,no,regulation of calcium ion transport [GO:0051924]
346,FUN_011976,gene,no,response to calcium ion [GO:0051592]
347,FUN_011976,gene,no,response to fibroblast growth factor [GO:0071774]
348,FUN_011976,gene,no,response to ischemia [GO:0002931]
349,FUN_011976,gene,no,response to metal ion [GO:0010038]
350,FUN_011976,gene,no,response to organic cyclic compound [GO:0014070]
351,FUN_011976,gene,no,vasodilation [GO:0042311]
352,FUN_012073,gene,no,mRNA processing [GO:0006397]
353,FUN_012073,gene,no,peptidyl-arginine methylation [GO:0018216]
354,FUN_012091,gene,no,
355,FUN_014880,gene,no,pyridoxal phosphate biosynthetic process [GO:0042823]
356,FUN_014881,gene,no,positive regulation of amyloid-beta formation [GO:1902004]
357,FUN_014881,gene,no,proteolysis [GO:0006508]
358,FUN_014881,gene,no,regulation of protein stability [GO:0031647]
359,FUN_014942,gene,no,angiogenesis [GO:0001525]
360,FUN_014942,gene,no,anterior/posterior pattern specification [GO:0009952]
361,FUN_014942,gene,no,aorta morphogenesis [GO:0035909]
362,FUN_014942,gene,no,artery morphogenesis [GO:0048844]
363,FUN_014942,gene,no,blood vessel development [GO:0001568]
364,FUN_014942,gene,no,blood vessel morphogenesis [GO:0048514]
365,FUN_014942,gene,no,cell fate specification [GO:0001708]
366,FUN_014942,gene,no,cell population proliferation [GO:0008283]
367,FUN_014942,gene,no,cellular response to fibroblast growth factor stimulus [GO:0044344]
368,FUN_014942,gene,no,cellular response to retinoic acid [GO:0071300]
369,FUN_014942,gene,no,cochlea morphogenesis [GO:0090103]
370,FUN_014942,gene,no,coronary artery morphogenesis [GO:0060982]
371,FUN_014942,gene,no,determination of left/right symmetry [GO:0007368]
372,FUN_014942,gene,no,ear morphogenesis [GO:0042471]
373,FUN_014942,gene,no,embryonic cranial skeleton morphogenesis [GO:0048701]
374,FUN_014942,gene,no,embryonic viscerocranium morphogenesis [GO:0048703]
375,FUN_014942,gene,no,enamel mineralization [GO:0070166]
376,FUN_014942,gene,no,epithelial cell differentiation [GO:0030855]
377,FUN_014942,gene,no,face morphogenesis [GO:0060325]
378,FUN_014942,gene,no,heart development [GO:0007507]
379,FUN_014942,gene,no,heart morphogenesis [GO:0003007]
380,FUN_014942,gene,no,inner ear morphogenesis [GO:0042472]
381,FUN_014942,gene,no,lymph vessel development [GO:0001945]
382,FUN_014942,gene,no,mesenchymal cell apoptotic process [GO:0097152]
383,FUN_014942,gene,no,mesoderm development [GO:0007498]
384,FUN_014942,gene,no,middle ear morphogenesis [GO:0042474]
385,FUN_014942,gene,no,muscle cell fate commitment [GO:0042693]
386,FUN_014942,gene,no,muscle organ development [GO:0007517]
387,FUN_014942,gene,no,muscle organ morphogenesis [GO:0048644]
388,FUN_014942,gene,no,muscle tissue morphogenesis [GO:0060415]
389,FUN_014942,gene,no,negative regulation of cell differentiation [GO:0045596]
390,FUN_014942,gene,no,negative regulation of mesenchymal cell apoptotic process [GO:2001054]
391,FUN_014942,gene,no,neural crest cell migration [GO:0001755]
392,FUN_014942,gene,no,odontogenesis of dentin-containing tooth [GO:0042475]
393,FUN_014942,gene,no,outer ear morphogenesis [GO:0042473]
394,FUN_014942,gene,no,outflow tract morphogenesis [GO:0003151]
395,FUN_014942,gene,no,outflow tract septum morphogenesis [GO:0003148]
396,FUN_014942,gene,no,parathyroid gland development [GO:0060017]
397,FUN_014942,gene,no,pattern specification process [GO:0007389]
398,FUN_014942,gene,no,pharyngeal system development [GO:0060037]
399,FUN_014942,gene,no,positive regulation of cell population proliferation [GO:0008284]
400,FUN_014942,gene,no,positive regulation of DNA-templated transcription [GO:0045893]
401,FUN_014942,gene,no,positive regulation of epithelial cell proliferation [GO:0050679]
402,FUN_014942,gene,no,positive regulation of MAPK cascade [GO:0043410]
403,FUN_014942,gene,no,positive regulation of mesenchymal cell proliferation [GO:0002053]
404,FUN_014942,gene,no,positive regulation of protein phosphorylation [GO:0001934]
405,FUN_014942,gene,no,positive regulation of tongue muscle cell differentiation [GO:2001037]
406,FUN_014942,gene,no,positive regulation of transcription by RNA polymerase II [GO:0045944]
407,FUN_014942,gene,no,regulation of animal organ morphogenesis [GO:2000027]
408,FUN_014942,gene,no,regulation of transcription by RNA polymerase II [GO:0006357]
409,FUN_014942,gene,no,retinoic acid receptor signaling pathway [GO:0048384]
410,FUN_014942,gene,no,semicircular canal morphogenesis [GO:0048752]
411,FUN_014942,gene,no,sensory perception of sound [GO:0007605]
412,FUN_014942,gene,no,social behavior [GO:0035176]
413,FUN_014942,gene,no,soft palate development [GO:0060023]
414,FUN_014942,gene,no,thymus development [GO:0048538]
415,FUN_014942,gene,no,thyroid gland development [GO:0030878]
416,FUN_014942,gene,no,tongue morphogenesis [GO:0043587]
417,FUN_014942,gene,no,vagus nerve morphogenesis [GO:0021644]
418,FUN_014965,gene,no,
419,FUN_015026,gene,no,
420,FUN_015276,gene,no,arginine catabolic process [GO:0006527]
421,FUN_015276,gene,no,defense response to bacterium [GO:0042742]
